MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,SAP_FLUX,SAP_BKG,PDCSAP_FLUX,RESULT
2.1884353796327043E8,2.1878844664073467E8,2.1886004184651163E8,2.188600417619035E8,4299592.0,2.1541959708999977E8,2818594.0,0
2.1886464186532205E8,2.1888008081256318E8,2.1886005070089152E8,2.1886005913012582E8,3761747.0,2.1986692628000015E8,7933142.0,0
2.1893844497478703E8,2.1914006812557825E8,2.1886344169613695E8,2.1887152011328018E8,1.46595645E8,2.3083392543000087E8,1.02657047E8,0
2.1893373274779707E8,2.1915143651373577E8,2.18860050242104E8,2.188601236611252E8,7.0384965E7,2.3581370301000077E8,3.119982E7,0
2.1892496370560995E8,2.1915411182772362E8,2.188651693955498E8,2.188820261922975E8,6.9250797E7,2.339497332900002E8,2.7917802E7,0
2.1893219827007338E8,2.1917218527438006E8,2.1886018792334598E8,2.188603961201786E8,2.5146056E7,2.3535082839999932E8,2.3807802E7,0
2.1894274221035668E8,2.1915524911073753E8,2.1886021424483934E8,2.1886030431391522E8,1.34652952E8,2.315249782700002E8,1.01070144E8,0
2.189357261114137E8,2.1915937855611625E8,2.1886005240954417E8,2.188601274396427E8,7.9871913E7,2.3608351536000052E8,4.2951677E7,0
2.189007810145789E8,2.1904452860786533E8,2.1886359401703915E8,2.1887523171683493E8,4.8495248E7,2.2854702796999952E8,2.7747183E7,0
2.189360107228754E8,2.1918934259387463E8,2.188603481330002E8,2.188609997975144E8,4.3557661E7,2.3678533425999945E8,1.7964881E7,0
2.1894774351340342E8,2.191730916766045E8,2.1886034917229003E8,2.188607755749441E8,1.51519722E8,2.323257939300009E8,1.15771417E8,0
2.1894347072084984E8,2.1919002992079154E8,2.1886337027647814E8,2.1887294638304174E8,1.31796358E8,2.380565166199997E8,8.9592489E7,0
2.1891977599841344E8,2.1913148087479427E8,2.1886068482196155E8,2.188623803389297E8,1.04974218E8,2.3161546188999915E8,7.7551538E7,0
2.189275490828931E8,2.191527154180944E8,2.1886019333362758E8,2.1886043368332058E8,3.9196982E7,2.3535041230999964E8,3.591961E7,0
2.189441787241054E8,2.1916024203795424E8,2.188672021619914E8,2.1888447903415263E8,1.72821521E8,2.3166186305999953E8,1.39331806E8,0
